"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
1324,657277,"Webb, Logan",2023,3182,41.6,0.225,0.084,0.278,0.309,0.245,0.255,0.234,94,417,89.6,-4.9,1476,87.5,88.83,184,807,517,1.2999999999999972,7.01,112,148,118,149,298,327,299,"27.6","-27.6"
1029,641154,"López, Pablo",2022,2910,35.4,0.22,0.154,0.277,0.374,0.283,0.287,0.233,54,246,87.2,4.2,1965,87.5,88.19,187,553,476,0.7000000000000028,6.86,111,152,118,150,296,315,293,"4.4","-4.4"
964,622491,"Castillo, Luis",2021,3164,30.5,0.208,0.102,0.285,0.309,0.259,0.244,0.198,55,265,85.7,0.3,1971,88.3,87.18,179,548,416,-1.0999999999999943,5.57,116,153,119,149,290,319,293,"2.6","-2.6"
944,608337,"Giolito, Lucas",2021,2970,31.8,0.218,0.165,0.293,0.383,0.281,0.245,0.202,57,261,82.2,18.8,1492,81.5,82.29,191,539,405,0.7999999999999972,6.7,112,152,114,150,300,319,296,"10.8","-10.8"
937,657277,"Webb, Logan",2022,3006,31.2,0.204,0.082,0.264,0.286,0.244,0.276,0.238,55,269,88.4,-3.6,1493,86.4,87.39,143,538,399,1,6.73,111,151,118,148,296,323,297,"11.6","-11.6"
902,608337,"Giolito, Lucas",2023,3190,28.3,0.209,0.233,0.232,0.442,0.314,0.3,0.209,45,215,85.4,21.9,1547,80.9,81.79,166,471,431,0.8999999999999915,6.78,112,148,116,148,298,323,297,"0.6","-0.6"
895,645261,"Alcantara, Sandy",2022,3248,27.6,0.146,0.049,0.209,0.195,0.17,0.199,0.169,36,246,84.2,-4.9,2056,91.8,90.68,176,509,386,-1.0999999999999943,5.91,113,155,117,152,295,317,297,"24.1","-24.1"
867,543294,"Hendricks, Kyle",2023,2108,41.1,0.18,0.099,0.216,0.279,0.218,0.235,0.206,51,283,81,11.9,2156,80.7,79.86,158,487,380,-0.7999999999999972,5.61,112,149,115,151,300,324,295,"11.8","-11.8"
865,594835,"Gonzales, Marco",2022,2838,30.5,0.263,0.18,0.283,0.442,0.317,0.275,0.235,73,278,84.9,11.8,2114,79.4,79.33,127,518,347,-0.10000000000000853,6.38,107,152,121,145,298,320,285,"-2.4","2.4"
837,605200,"Davies, Zach",2021,2577,32.5,0.258,0.215,0.31,0.472,0.332,0.302,0.247,60,233,84.5,8.4,1691,78.5,78.3,183,501,336,-0.20000000000000284,6.18,108,155,116,149,296,323,297,"-13.2","13.2"
823,527048,"Pérez, Martín",2022,2979,27.6,0.233,0.105,0.279,0.338,0.272,0.288,0.251,49,210,84.2,6.6,1661,84.4,83.79,147,439,384,-0.6000000000000085,5.94,111,153,117,147,303,322,293,"-1.3","1.3"
822,542881,"Anderson, Tyler",2023,2431,33.8,0.238,0.143,0.32,0.381,0.28,0.267,0.22,45,189,82.5,14.8,1861,80,79.9,163,410,412,-0.09999999999999432,6.24,108,150,115,145,304,328,297,"4.8","-4.8"
815,542881,"Anderson, Tyler",2022,2576,31.6,0.179,0.083,0.226,0.262,0.212,0.223,0.19,41,229,82,15,1848,79,78.77,169,457,358,-0.20000000000000284,6.07,107,154,117,146,303,314,286,"14.5","-14.5"
779,572971,"Keuchel, Dallas",2021,2726,28.6,0.244,0.134,0.269,0.378,0.289,0.344,0.288,51,209,83.7,1.2,1630,79.6,79.48,114,382,397,-0.09999999999999432,6.11,109,151,116,147,299,319,294,"-0.8","0.8"
