"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
1861,592662,"Ray, Robbie",2021,3141,59.2,0.222,0.208,0.252,0.431,0.307,0.327,0.243,96,432,90.8,21.8,2272,94.8,94.89,238,993,868,0.10000000000000853,6.48,106,154,120,147,298,319,289,"21.4","-21.4"
1826,675911,"Strider, Spencer",2023,3100,58.9,0.256,0.175,0.332,0.431,0.33,0.319,0.24,101,394,90.1,18,2362,97.2,98.35,285,992,834,1.2000000000000028,7.05,113,149,119,150,306,325,303,"1.7","-1.7"
1826,607074,"Rodón, Carlos",2022,2985,61.2,0.213,0.145,0.29,0.358,0.284,0.277,0.206,85,399,89.9,21.3,2349,95.5,95.36,273,979,847,-0.09999999999999432,6.23,109,153,114,148,298,321,290,"21.6","-21.6"
1739,543037,"Cole, Gerrit",2023,3281,53,0.201,0.131,0.258,0.332,0.269,0.305,0.223,78,389,90.7,21.5,2412,96.7,96.44,203,893,846,-0.29999999999999716,6.32,112,149,118,151,298,329,289,"29.4","-29.4"
1698,543037,"Cole, Gerrit",2022,3274,51.9,0.221,0.199,0.3,0.42,0.308,0.299,0.216,80,362,92.1,16.8,2428,97.8,97.77,231,798,900,0,6.47,112,158,122,152,293,327,291,"8.4","-8.4"
1693,641816,"Mahle, Tyler",2021,3196,53,0.236,0.199,0.341,0.435,0.334,0.307,0.215,78,331,88,16.9,2336,94,94.53,209,775,918,0.5,6.61,113,154,117,148,293,318,290,"10.5","-10.5"
1682,664299,"Javier, Cristian",2023,2882,58.4,0.236,0.219,0.258,0.455,0.329,0.345,0.234,94,398,90.2,25.2,2255,92.7,91.59,248,935,747,-1.1000000000000085,6.05,110,149,115,149,295,325,293,"11.6","-11.6"
1676,657006,"Steele, Justin",2023,2678,62.6,0.275,0.118,0.331,0.393,0.318,0.326,0.277,107,389,87.2,9.4,2402,91.8,88.92,184,906,770,-2.8999999999999915,6.3,108,152,115,150,303,325,289,"15.1","-15.1"
1626,669302,"Gilbert, Logan",2022,3015,53.9,0.259,0.179,0.309,0.439,0.333,0.338,0.261,97,374,92.1,15.7,2135,96.1,98.09,211,892,734,2,7.41,112,153,118,148,292,324,298,"11.6","-11.6"
1601,668678,"Gallen, Zac",2023,3248,49.3,0.237,0.121,0.295,0.358,0.286,0.329,0.256,88,371,92.6,16.3,2296,93.6,94.01,142,741,860,0.4000000000000057,6.6,111,150,118,149,300,319,295,"27.1","-27.1"
1583,592332,"Gausman, Kevin",2021,3002,52.7,0.257,0.16,0.292,0.416,0.316,0.352,0.278,98,382,90,16.6,2283,94.6,94.83,165,847,736,0.20000000000000284,6.48,111,155,114,150,298,322,294,"10.3","-10.3"
1575,663474,"McKenzie, Triston",2022,2807,56.1,0.202,0.155,0.218,0.357,0.285,0.335,0.241,73,361,91.2,23.8,2312,92.5,93.05,164,835,740,0.5,6.77,110,156,119,150,295,317,293,"16.9","-16.9"
1572,601713,"Pivetta, Nick",2022,3082,51,0.236,0.206,0.268,0.442,0.34,0.356,0.249,78,330,92.9,22.9,2310,93.4,94.02,169,802,770,0.5999999999999943,6.77,110,156,116,150,293,329,296,"8.6","-8.6"
1560,592332,"Gausman, Kevin",2023,3069,50.8,0.243,0.166,0.307,0.409,0.307,0.348,0.27,92,379,92.3,15.5,2278,94.7,94.84,136,790,770,0.09999999999999432,6.55,110,149,120,148,290,326,289,"16.3","-16.3"
1541,605483,"Snell, Blake",2023,3168,48.6,0.255,0.135,0.307,0.389,0.354,0.399,0.283,70,275,90.9,15.5,2430,95.5,96.22,119,609,932,0.7000000000000028,6.88,110,151,118,148,299,321,291,"5","-5"
1535,664299,"Javier, Cristian",2022,2554,60.1,0.183,0.143,0.235,0.326,0.277,0.273,0.181,59,322,89.1,24,2354,93.8,93.07,231,846,689,-0.7000000000000028,6,115,157,118,150,294,324,293,"18","-18"
1526,657746,"Ryan, Joe",2023,2683,56.9,0.24,0.217,0.312,0.457,0.313,0.275,0.208,81,337,91.5,26.4,2216,92.3,92.68,257,896,630,0.4000000000000057,6.55,112,149,121,150,301,328,295,"12.7","-12.7"
1525,675911,"Strider, Spencer",2022,2277,67,0.201,0.094,0.297,0.295,0.261,0.28,0.207,64,319,90,18.6,2343,98.2,99.2,221,797,728,1,6.93,114,152,123,150,304,324,303,"19.6","-19.6"
1506,571760,"Heaney, Andrew",2023,2603,57.9,0.236,0.196,0.291,0.431,0.343,0.336,0.218,65,276,91.1,22,2413,92.5,92.4,171,667,839,-0.09999999999999432,6.5,113,151,118,148,301,329,299,"0.6","-0.6"
1491,656629,"Kopech, Michael",2023,2430,61.4,0.244,0.218,0.276,0.462,0.39,0.392,0.24,67,275,91.4,20.8,2501,95.2,95.99,167,633,858,0.7999999999999972,6.84,111,149,113,147,297,323,299,"-4","4"
1464,669022,"Gore, MacKenzie",2023,2462,59.5,0.279,0.224,0.317,0.503,0.37,0.375,0.277,82,294,89.5,16.2,2286,95,96.18,157,726,738,1.2000000000000028,7.07,114,149,116,146,307,331,306,"-2.7","2.7"
1453,642547,"Peralta, Freddy",2023,2839,51.2,0.213,0.174,0.283,0.387,0.294,0.285,0.21,65,305,88.6,17.1,2414,94.4,95.46,210,720,733,1.0999999999999943,6.91,111,150,116,148,299,326,296,"12","-12"
1442,457918,"Happ, J.A.",2021,2674,53.9,0.266,0.266,0.294,0.532,0.377,0.365,0.256,78,293,91.7,24,2298,91,90.72,136,671,771,-0.29999999999999716,6.12,105,154,116,147,299,327,295,"-1.6","1.6"
1441,657746,"Ryan, Joe",2022,2391,60.3,0.174,0.125,0.218,0.299,0.262,0.3,0.2,54,311,89.6,26.3,2194,92,92.13,198,768,673,0.09999999999999432,6.38,111,159,117,151,298,330,293,"20.7","-20.7"
1441,676664,"Sears, JP",2023,2867,50.3,0.256,0.222,0.299,0.478,0.353,0.352,0.248,83,324,90,21.6,2135,93.1,93.49,158,729,712,0.4000000000000057,6.55,110,148,116,149,298,322,293,"2","-2"
