"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z",""
"Wainwright, Adam","425794","2021","89","2228","-1.9","-19.7",,,,,"82.7","1715","-13.8","-32.1","73.5","2839","16.6","-66.3",
"Greinke, Zack","425844","2021","88.9","2234","-1.3","-18","83.6","2357","7.9","-36","86.4","1594","-12.8","-32.1","71.2","2365","11.4","-65",
"Santana, Ervin","429722","2021","93.4","2178","-4.5","-17.2","84.4","2319","4.4","-36.5","87.2","1681","-8","-23",,,,,
"Kazmir, Scott","431148","2021","92.4","2152","11.2","-15.8","87.1","1946","1.2","-27.7","80.5","1482","13.4","-34.2",,,,,
"Petit, Yusmeiro","433589","2021","87.6","2136","-5","-17.6",,,,,"80.8","1751","-11.4","-26.9","74.9","2018","9.7","-48.8",
"Kintzler, Brandon","445213","2021","92.2","1929","-10.2","-18.3","85.4","2350","1","-33.8","86.8","2176","-17.2","-25.6",,,,,
"Jansen, Kenley","445276","2021",,,,,"82","2448","6","-46.8",,,,,,,,,
"Chavez, Jesse","445926","2021","91.1","2068","-11.5","-23","82.6","2229","6.5","-37.3","84.6","1823","-15.9","-35.4",,,,,
"Detwiler, Ross","446321","2021","91.9","2183","10.5","-16",,,,,"85.4","1618","13.3","-29.4","77.3","2050","-5.8","-53.5",
"Kluber, Corey","446372","2021","89.9","2263","-5.3","-18.6",,,,,"84.7","1638","-13.6","-33.5","81.9","2506","16.9","-40.7",
"Hill, Rich","448179","2021","88.1","2339","9.2","-16.1","76.5","2384","-8.2","-48.6","80.9","1672","13.6","-31","71.8","2714","-19.5","-66.7",
"Doolittle, Sean","448281","2021","93.1","2261","3.6","-11.6","84.2","2260","-2.9","-32.5",,,,,"79.7","2405","-7.8","-41.9",
"Guerra, Junior","448855","2021","92.2","2329","-4.5","-13.4","84.2","2404","6.2","-37.8",,,,,"80.8","2556","5","-50.9",
"Morton, Charlie","450203","2021","95.5","2340","-13","-17.5",,,,,"86.4","2100","-18","-33.8","80.6","3053","16.6","-52.5",
"Davis, Wade","451584","2021","92.7","2391","-3.1","-14.1",,,,,"84.4","1772","-9.3","-27.5","81.9","2474","6.2","-52.7",
"Albers, Andrew","452027","2021","88.4","2187","7.5","-16.4","78.1","2299","-2.6","-46","80","1407","12.7","-35.1","68.8","2260","-8.3","-67.8",
"Lester, Jon","452657","2021","88.7","2172","5","-20",,,,,"81.3","1737","10.9","-34.4","72.6","2437","-10.3","-57.8",
"Kennedy, Ian","453178","2021","94.1","2427","-10.8","-13.3","82.8","2309","7.6","-40.7","87.1","1930","-14.2","-24.6","80.2","2563","9.3","-54",
"Miller, Andrew","453192","2021","87.9","2050","8.3","-22.8","78.1","2475","-13.3","-44.2",,,,,,,,,
"Watson, Tony","453265","2021","92.5","2310","14.3","-21.8","83.1","2374","-3.5","-38.1","85.9","2351","19.9","-30.3",,,,,
"Bard, Daniel","453268","2021","97.5","2731","-9.4","-18.5","87.1","2910","9.3","-33.2","89.8","2145","-15.9","-32.4",,,,,
"LeBlanc, Wade","453281","2021","87.5","1994","7.8","-19.9",,,,,"79.5","1498","13.9","-36.1","73.3","2321","-12.6","-56.9",
"Parker, Blake","453284","2021","90.7","2002","-2.7","-17.3",,,,,,,,,"75.8","2092","5.4","-56.3",
"Scherzer, Max","453286","2021","94.3","2436","-10.6","-14.8","85.9","2273","2.9","-32.5","85","1446","-15.2","-33.9","76.9","2661","13.4","-54.4",
"Melancon, Mark","453343","2021","91.7","2249","-8.9","-20",,,,,,,,,"82.2","2599","4","-55.4",
"Arrieta, Jake","453562","2021",,,,,"88.3","2277","3.4","-28.1","87","1787","-16.2","-34.4","80.4","2690","12.1","-52.9",
"Martin, Chris","455119","2021","94.8","2122","-7.5","-16",,,,,,,,,"83.8","2461","6.9","-47.1",
"Price, David","456034","2021","92.9","2019","9","-18.8",,,,,"85.5","1677","14.7","-31.8","76.6","2225","-8.5","-52.6",
"Cueto, Johnny","456501","2021","91.8","2238","-11.7","-17","84.1","2265","1.7","-32.5","82.7","1335","-11.7","-36","79.1","2330","4.1","-43.7",
"Guerra, Javy","457915","2021","91.7","2127","-1.8","-13.9","87.9","2069","4.1","-26.8","82.6","1439","-7.3","-26.8","78.5","2315","6.5","-51.3",
"Happ, J.A.","457918","2021","91","2298","7.9","-16.1","83","2225","-2.5","-36.1","86.1","1657","13.9","-28","76.2","2231","-4.7","-52.1",
"Lindblom, Josh","458676","2021","90.3","2593","-5.8","-15.8","76.1","2470","17.1","-48.3","84.2","1958","-15.2","-28.5","72.9","2821","15.3","-66.7",
"Wilson, Justin","458677","2021","93.6","2249","6.4","-12.2","81.7","2627","-5","-45.5",,,,,,,,,
"Lynn, Lance","458681","2021","94","2407","-6","-16",,,,,"87.2","1776","-13.5","-29.4","82.1","2473","6.5","-45",
"Tomlin, Josh","458708","2021","88.9","2311","-5.9","-16.3",,,,,"84.7","1720","-13.3","-28.1","76.4","2687","4.2","-53.3",
"McGee, Jake","459429","2021","94.9","2143","11.5","-15","82.4","1911","-2.5","-38.1",,,,,,,,,
"Clippard, Tyler","461325","2021","88.8","2254","-6.1","-15.9","83.1","2105","3.7","-32.7","78.3","2090","-13","-29.8","74.5","2086","6.3","-56.1",
"Swarzak, Anthony","461872","2021","93","2282","-6.2","-15.2","85.9","2397","4.5","-34.4",,,,,,,,,
"Soria, Joakim","465657","2021","92.8","2337","-4.9","-14.2","77.7","2765","15.1","-52.8","87.6","1659","-11","-28.8","70","2659","12.8","-73.6",
"Chacin, Jhoulys","468504","2021","92.4","2240","-4.5","-17.3","88.2","2476","3.8","-29","84.6","1421","-7","-31","81.2","2444","12.4","-40.1",
