Season,Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
2023,"Yu Darvish","SDP",121.65609756097558,56.74974517615177,180.3,20,"Yu Darvish",13074,506433
2023,"Gavin Williams","CLE",112.00273794002607,61.46206544980442,136.30256410256408,48.43386,"Gavin Williams",30122,668909
2022,"Sandy Alcantara","MIA",109.3765281173594,58.01689321515892,129.9383759733037,64.30110576195773,"Sandy Alcantara",18684,645261
2023,"Tyler Wells","BAL",83.56431784107947,47.78910697151424,126.94638554216867,64.5477116566265,"Tyler Wells",20000,669330
2022,"Tyler Wells","BAL",100.96720116618079,57.968308498542285,119.45940594059407,68.12798320132012,"Tyler Wells",20000,669330
2022,"Ross Stripling","TOR",84.01185897435897,49.659970689102565,117.04565656565657,71.33711208080808,"Ross Stripling",13273,548389
2022,"Beau Brieske","DET",94.59764309764311,49.49456146464646,115.71684210526314,71.59935512280701,"Beau Brieske",26079,689225
2022,"Brandon Woodruff","MIL",117.90225641025644,63.3539858871795,115.34382566585958,67.18547276029055,"Brandon Woodruff",16162,605540
2023,"Shane McClanahan","TBR",110.7816513761468,65.71070997378769,115.02255319148934,64.97289387234042,"Shane McClanahan",21483,663556
2023,"James Paxton","BOS",95.2033934252386,60.006654008483565,111.75701754385966,40.57159815789475,"James Paxton",11828,572020
2023,"Steven Matz","STL",,,110.77890995260663,66.66553372037913,"Steven Matz",13361,571927
2023,"Logan Webb","SFG",88.41452991452988,47.32001205128206,110.66433566433567,62.0571970770393,"Logan Webb",17995,657277
2023,"Grayson Rodriguez","BAL",116.467401725791,65.97799448705656,110.4430997876858,67.1764902760085,"Grayson Rodriguez",24492,680570
2023,"Carlos Carrasco","NYM",74.7397233201581,40.57200812252965,108.16652631578947,53.77802785263158,"Carlos Carrasco",6632,471911
2022,"Carlos Carrasco","NYM",75.59007092198583,51.617615508274234,108.12389830508474,64.16975266101696,"Carlos Carrasco",6632,471911
2023,"Sandy Alcantara","MIA",110.78756476683937,62.247846148531934,107.47217741935484,60.206247755376346,"Sandy Alcantara",18684,645261
2022,"Chris Flexen","SEA",76.62838874680307,43.643337634271106,106.35798045602604,50.47912442996743,"Chris Flexen",13896,623167
2022,"Merrill Kelly","ARI",85.37161862527714,52.53470770509979,105.79536621823615,59.806852780269054,"Merrill Kelly",11156,518876
2023,"Bobby Miller","LAD",130.28794964028776,61.25015361510791,104.55828025477707,57.611020732484086,"Bobby Miller",27483,676272
2022,"Logan Webb","SFG",115.3,39.67289855670103,103.84642475987192,58.29547582710777,"Logan Webb",17995,657277
2023,"Joe Musgrove","SDP",79.74894736842106,54.81202947368423,103.56761363636365,48.114598352272736,"Joe Musgrove",12970,605397
2022,"Michael Wacha","BOS",83.49424572317263,52.369472052877136,102.79017241379312,63.067325448275874,"Michael Wacha",14078,608379
2023,"Justin Verlander","- - -",96.6263440860215,52.60666149769586,102.23801652892563,59.25294140495869,"Justin Verlander",8700,434378
2023,"Andrew Heaney","TEX",105.54224637681159,54.37524429710146,101.72253521126761,47.79750643192489,"Andrew Heaney",15423,571760
2023,"Tanner Bibee","CLE",91.3063071297989,45.2359863071298,101.46269430051814,58.709049559585495,"Tanner Bibee",30134,676440
2022,"Trevor Rogers","MIA",100.85933528836757,59.54813562072336,100.91426056338027,60.36652239436619,"Trevor Rogers",22286,669432
2022,"Luis Garcia","HOU",97.30934489402698,57.69726527938344,100.908658008658,55.42783800865801,"Luis Garcia",23735,677651
2022,"Kyle Bradish","BAL",97.07316798196167,48.68993110484779,100.90588235294119,51.44943329411765,"Kyle Bradish",24586,680694
2023,"Michael Wacha","SDP",73.39921507064363,49.17696321821036,100.90169712793734,72.35628178851174,"Michael Wacha",14078,608379
2022,"Kyle Wright","ATL",82.31417624521075,38.35314229885058,99.9806220095694,50.44253143540671,"Kyle Wright",19665,657140
2022,"Luis Castillo","- - -",110.5342233009709,58.047698834951454,99.67544802867386,56.2368602688172,"Luis Castillo",15689,622491
2023,"Charlie Morton","ATL",73.97227171492206,40.158966614699324,99.61198630136985,52.30179773972603,"Charlie Morton",4676,450203
2023,"Merrill Kelly","ARI",78.35534441805227,52.212969429928734,99.4391975308642,62.96012743827161,"Merrill Kelly",11156,518876
2022,"Shane McClanahan","TBR",107.94072810011379,64.56539565415245,99.02736000000004,65.197048912,"Shane McClanahan",21483,663556
2023,"Jordan Montgomery","- - -",74.68774193548387,44.8640824516129,98.63955223880595,53.55491165671643,"Jordan Montgomery",16511,656756
2023,"Patrick Sandoval","LAA",63.281886227544916,48.022156242514974,98.63081481481484,56.70363872592592,"Patrick Sandoval",19447,663776
2023,"Lucas Giolito","- - -",83.73116591928252,46.768909065769805,98.62161862527718,64.37806768292683,"Lucas Giolito",15474,608337
2023,"Reese Olson","DET",93.28708240534522,52.41710273942094,98.59748953974893,49.640763430962345,"Reese Olson",24968,681857
2022,"Logan Gilbert","SEA",105.2287822878229,60.72950765067651,97.83195020746889,39.12198095435684,"Logan Gilbert",22250,669302
2022,"Ian Anderson","ATL",74.08543184183142,40.50193348595214,97.37085201793722,49.869994469357245,"Ian Anderson",19951,666120
2022,"George Kirby","SEA",90.21315789473682,59.72612131578946,97.29161676646706,56.559745269461075,"George Kirby",25436,669923
2023,"Domingo Germán","NYY",88.36213151927437,47.02238319727892,96.82912912912914,47.09265528528529,"Domingo German",17149,593334
2022,"Tyler Anderson","LAD",85.30272822665268,58.48107677859391,96.32604828462517,60.97340921219823,"Tyler Anderson",12880,542881
2023,"Ryne Nelson","ARI",101.60987854251013,59.01189116599193,95.83680781758956,49.68659449511401,"Ryne Nelson",26253,669194
2023,"Brandon Williamson","CIN",63.53436123348016,39.866986069444444,95.19348534201954,45.02870539184953,"Brandon Williamson",25463,682227
2022,"Patrick Sandoval","LAA",73.82410714285714,44.49993016071429,95.12781456953643,52.59018031456953,"Patrick Sandoval",19447,663776
