Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","NYY",140.76927784577725,73.29432119951039,85.66853448275862,53.36701025862069,"Gerrit Cole",13125,543037
"Yu Darvish","SDP",125.06097560975608,52.55411373983739,,,"Yu Darvish",13074,506433
"Dylan Cease","CHW",123.99950495049508,54.78966449257425,76.25999999999999,50.88524038095238,"Dylan Cease",18525,656302
"Max Scherzer","- - -",123.09687924016282,60.86923708276797,87.95078740157481,50.90181661417323,"Max Scherzer",3137,453286
"Zack Wheeler","PHI",122.39411764705882,70.62342038363171,59.06153846153847,40.60192630769231,"Zack Wheeler",10310,554430
"Nick Pivetta","BOS",117.59935064935067,59.94473863636365,82.58983050847459,43.983607457627116,"Nick Pivetta",15454,601713
"Logan Gilbert","SEA",114.74314115308151,65.86885993041749,65.77132867132866,33.788653006992995,"Logan Gilbert",22250,669302
"Walker Buehler","LAD",113.92847938144332,54.71453831185568,110.91748251748251,54.23622867132868,"Walker Buehler",19374,621111
"Sandy Alcantara","MIA",111.70916230366491,58.33367036649213,112.76063829787236,61.5433504255319,"Sandy Alcantara",18684,645261
"Brandon Woodruff","MIL",109.46771653543308,63.469705688976376,105.50390624999999,66.8854314453125,"Brandon Woodruff",16162,605540
"Julio Urías","LAD",109.26466480446929,64.2188055027933,92.78131487889274,57.04831325259514,"Julio Urias",14765,628711
"Zac Gallen","ARI",107.97303867403316,57.233100331491706,92.04068441064639,57.4966991634981,"Zac Gallen",19291,668678
"Jameson Taillon","NYY",107.48471810089022,65.24048793768547,91.42421052631578,43.895607052631576,"Jameson Taillon",11674,592791
"Tyler Mahle","CIN",107.47998171846437,59.12110459780623,,,"Tyler Mahle",16358,641816
"Robbie Ray","TOR",107.3892798690671,67.78168851063829,46.67936507936508,23.03346714285714,"Robbie Ray",11486,592662
"Aaron Nola","PHI",107.11669367909238,55.391226645056726,87.18716216216215,61.13329452702703,"Aaron Nola",16149,605400
"Frankie Montas","OAK",106.17703549060543,52.36796832985386,,,"Frankie Montas",14309,593423
"Luis Castillo","CIN",105.39357976653699,53.13228231517509,113.11918294849025,64.22831628774422,"Luis Castillo",15689,622491
"Yusei Kikuchi","SEA",105.0159574468085,48.230619609929086,101.73684210526316,49.39389719298246,"Yusei Kikuchi",20633,579328
"Lucas Giolito","CHW",103.74264705882355,53.21065421122995,106.83019271948609,76.13957950749464,"Lucas Giolito",15474,608337
"Luis Garcia","HOU",103.26044657097287,52.90734350877193,105.69833333333332,49.98766016666667,"Luis Garcia",23735,677651
"Lance Lynn","CHW",102.82396396396396,58.64972603603602,76.48947368421052,22.872548596491228,"Lance Lynn",2520,458681
"Kevin Gausman","SFG",100.26395112016293,60.998708869653775,72.8611570247934,41.13333033057852,"Kevin Gausman",14107,592332
"Nathan Eovaldi","BOS",99.43766617429839,64.72777327917282,,,"Nathan Eovaldi",9132,543135
"Alek Manoah","TOR",98.75057692307693,56.98788515384616,69.17872340425532,35.71617283687942,"Alek Manoah",26410,666201
"Tylor Megill","NYM",98.31284916201119,58.10535339664805,92.64184615384616,58.536795169230764,"Tylor Megill",21318,656731
"Rich Hill","- - -",96.83239644970413,57.74364597633135,86.26153846153846,39.93113711538462,"Rich Hill",4806,448179
"Wil Crowe","PIT",96.67876288659792,36.18817793814432,77.37885304659498,61.23749100358421,"Wil Crowe",19800,640444
"Anthony DeSclafani","SFG",95.69950495049507,52.39724537128712,76.83986928104575,55.922167647058814,"Anthony DeSclafani",13050,543101
"Matt Manning","DET",94.36400679117146,50.951102275042444,74.45524861878452,45.00420988950276,"Matt Manning",20369,666159
"Shane McClanahan","TBR",92.9090909090909,61.30826089090908,89.01397849462364,43.576043010752684,"Shane McClanahan",21483,663556
"Shohei Ohtani","LAA",92.74885654885654,48.61950195426196,,,"Shohei Ohtani",19755,660271
"José Berríos","- - -",92.34475982532751,56.23091410480349,81.46566037735849,49.12387709433962,"Jose Berrios",14168,621244
"Sonny Gray","CIN",91.27993630573249,55.846812420382165,78.11351351351352,51.70155702702702,"Sonny Gray",12768,543243
"Eric Lauer","MIL",90.459,51.094048316666665,78.42054794520547,42.039187397260285,"Eric Lauer",19316,641778
"Chris Flexen","SEA",89.85566037735849,51.67481361185984,101.85466101694914,53.83868436440679,"Chris Flexen",13896,623167
